mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01671743392944336,0.0020700541463318837,0.004110574722290039,0.0004145079071021257,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8251587065006182,0.8227322735673651,0.813478461125141,0.8448330830916644,0.8446598607744421,0.8301724770118462,0.01252199942000017,50,0.8836432888741681,0.8784274520250237,0.8961594677222836,0.8815975346624618,0.8831261587992782,0.8845907804166432,0.006063390465550903
0.017140674591064452,0.0020974764021441344,0.005235481262207031,0.001263530776741742,gini,5,4,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.8251587065006182,0.8309828516359515,0.813478461125141,0.8468124692641837,0.8487433891522156,0.833035175535622,0.013306221656723228,38,0.8808144222416581,0.8744127619475747,0.8961594677222836,0.8798107420909159,0.8810541223111024,0.8824503032627069,0.007268231858113174
0.018712997436523438,0.0010894121368629662,0.005518913269042969,0.0008968144310529268,gini,5,8,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.8251055098002292,0.8325623421717171,0.813478461125141,0.8469620093899958,0.8502523447192508,0.8336721334412669,0.01366694763021657,34,0.8813918196097419,0.8742701125610371,0.8929461752396161,0.8762110073363704,0.8796536810616852,0.8808945591616901,0.006524529821640027
0.0173187255859375,0.0028250477586247496,0.006230688095092774,0.0012439592269175715,gini,5,8,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.8251055098002292,0.8325623421717171,0.813478461125141,0.8469620093899958,0.8502523447192508,0.8336721334412669,0.01366694763021657,34,0.8813918196097419,0.8742701125610371,0.8929461752396161,0.8762110073363704,0.8796536810616852,0.8808945591616901,0.006524529821640027
0.017879343032836913,0.0015220553847824377,0.0054186820983886715,0.0008078708288450651,gini,5,8,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.8251055098002292,0.8325623421717171,0.813478461125141,0.8469620093899958,0.8502523447192508,0.8336721334412669,0.01366694763021657,34,0.8813918196097419,0.8742701125610371,0.8929461752396161,0.8762110073363704,0.8796536810616852,0.8808945591616901,0.006524529821640027
0.019492626190185547,0.003289021921789515,0.0058463096618652345,0.001258005915786535,gini,5,8,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.8251055098002292,0.8325623421717171,0.813478461125141,0.8469620093899958,0.8502523447192508,0.8336721334412669,0.01366694763021657,34,0.8785918974313041,0.8713437664214791,0.8929461752396161,0.8762110073363704,0.8796536810616852,0.8797493054980909,0.0071927567662248325
0.028116893768310548,0.002019664965025287,0.006559610366821289,0.0008916799014727503,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7990376403662611,0.8302244005341488,0.8027582975730013,0.8088537513521277,0.8383457361615688,0.8158439651974214,0.015592799351668402,118,0.9885671726646772,0.9807729957666279,0.9782031153426073,0.9890891309459704,0.9869926636142325,0.9847250156668231,0.004406893348148591
0.029149389266967772,0.003116732696834897,0.006077718734741211,0.0006602181702821519,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888042212896769,0.8211131157541007,0.8017270465593943,0.7942955242610151,0.8342270827950427,0.8080333981318459,0.017061351763483102,149,0.9792205654787057,0.9656348809541413,0.9725200573176961,0.9802205288541025,0.9802132549827222,0.9755618575174736,0.005736240460307554
0.02834911346435547,0.0032499750296033454,0.006485605239868164,0.0011562640436707696,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.789253424526862,0.813397536687631,0.8120954878156954,0.7955891535099455,0.8341938608617769,0.8089058926803823,0.015705952784959402,148,0.9546649891742108,0.9510340358568352,0.9563336551045806,0.9593368999084184,0.9530477695321607,0.9548834699152412,0.0028344928325246678
0.040633106231689455,0.017611846684869377,0.005777549743652344,0.001452475331148357,gini,10,1,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8103401143460701,0.807642350569864,0.8059905862216518,0.804683531165021,0.8533428827594928,0.8163998930124199,0.018567858042187652,116,0.9324454971867356,0.9280381448038526,0.9433005216465536,0.9372145344561661,0.9318342001124714,0.934566579641156,0.005251261900688742
